word,preference,occurrences,song_count,songs
uhuh,422.7876676092824,4,1,11:35
porked,421.0828786269868,1,1,Numb (to the Guns)
zonk,421.0828786269868,2,2,Freeze/Honeycomb Interlude; Freeze
jects,421.0828786269868,1,1,Living Curfew
baracus,421.0828786269868,1,1,100 Feet Tall
helicoptering,421.0828786269868,1,1,Bermuda
senoritas,421.0828786269868,1,1,Wake Up Call
pimpled,421.0828786269868,1,1,Pizza Alley
thurible,421.0828786269868,1,1,Rogue Wave
steepled,421.0828786269868,1,1,TUFF
fraggles,421.0828786269868,1,1,Ace Rocks
pushpins,421.0828786269868,1,1,Hold the Cup
knucklehead,414.9478962893752,8,1,All Day: Nike+ Original Run
hollerin,412.7610826066907,4,4,11:35; The Next Best Thing; 11:35 (feat. Mr. Lif) / Ketamine U.S.A. Interlude; Sink or Swim
chk-chk-chk-chk,412.2179759190503,1,1,Dog at the Door
chokin,412.2179759190503,2,2,Bad Samaritan; Helium
novacaine,410.05976662104484,1,1,Numb (to the Guns)
tave,410.05976662104484,1,1,Vititus
anywheres,410.05976662104484,1,1,Gauze
bootlaces,410.05976662104484,1,1,The Tugboat Complex Pt. 3
noogie-fest,403.7186362093792,1,1,Shrunk
bazooka,403.5295408294216,22,14,We’re Famous; Fast Cars; Bazooka Tooth; Zodiaccupuncture; Babies with Guns; Cook it Up; Freeze/Honeycomb Interlude; N.Y. Electric; Mars Attacks; Super fluke; Kill the Messenger; Freeze; Ace Rocks; All In All
unmarketable,402.68079909830107,2,2,Merit; Train Buffer
fluffernutter,401.6482842288183,1,1,Puff Tuff
hacksaws,401.6482842288183,1,1,Citronella
slummy,401.6482842288183,1,1,Antisocial
murdery,401.6482842288183,1,1,39 Thieves
mutantes,401.6482842288183,1,1,Pizza Alley
noogie-wagon,401.6482842288183,1,1,Sniff Glue
barrettes,398.9206218571454,3,3,No Regrets; 6B Panorama; Attention Span
speedin,391.6070771230978,1,1,The Substance
stuntin,391.6070771230978,1,1,Limelighters/Flunkadelic Interlude
boomslang,391.6070771230978,1,1,Zodiaccupuncture
foghorns,391.6070771230978,1,1,Rogue Wave
chewin,384.87182026840077,2,2,Mystery Fish; The Mayor and the Crook
adays,384.87182026840077,2,1,Babies with Guns
bahs,383.9285069834292,1,1,Infinity Fill Goose Down
clingers,383.9285069834292,1,1,Coveralls
nappers,383.9285069834292,1,1,Wake Up Call
debaucherous,383.9285069834292,1,1,Tomorrow Morning
freebee,383.9285069834292,1,1,Kill the Messenger
burneth,383.9285069834292,1,1,TUFF
lummox,383.9285069834292,1,1,Leisureforce
humidors,383.9285069834292,1,1,Tomorrow Morning
maraud,383.9285069834292,1,1,Rings
emcees,383.92850698342914,5,2,Troubled Waters; Off the top
steak-umms,376.5452664645171,1,1,Supercell
iller,375.64228021400265,2,1,Winners Take All
aeronauts,374.74361447186396,1,1,Zero Dark Thirty
grapnel,374.74361447186396,1,1,Jazz Hands
grillin,374.74361447186396,1,1,Getaway Car
shedded,374.74361447186396,1,1,Dryspell
decomposer,374.74361447186396,1,1,Mars Attacks
tapwater,374.74361447186396,1,1,Boombox
pinholes,368.13826286542684,4,3,Catacomb Kids; Super fluke; Drawbridge
flyest,365.98792254495123,1,1,Five Fingers
archfiend,365.98792254495123,1,1,Marble Cake
cenobite,365.98792254495123,1,1,Daylight
barnstorm,365.98792254495123,1,1,Sick Friend
hummin,365.98792254495123,1,1,Aggressive Steven
lifelessness,365.98792254495123,1,1,Water Tower
meatiest,365.98792254495123,1,1,Plums
cruller,365.98792254495123,1,1,Fryerstarter
cyclers,365.98792254495123,1,1,Dryspell
pulsate,363.72174345798555,3,3,Fryerstarter; Freeze/Honeycomb Interlude; Freeze
chimi-dipper,360.92818168027446,1,1,Time Moves Differently Here
in-telli-gently,359.2725478193558,1,1,Coordinates
cowlick,358.45041384265244,2,2,Kirby; Racing Stripes
zaius,357.63203390237237,1,1,Dryspell
wilin,357.63203390237237,1,1,Living Curfew
arapaima,357.63203390237237,1,1,Pizza Alley
uncombed,357.63203390237237,1,1,The Four Winds
sundowning,357.63203390237237,1,1,Vititus
orangeade,357.63203390237237,1,1,Tetra
geta-getaway,356.0064337482707,6,1,Getaway Car
darnielle,349.6491760027659,1,1,Coffee (Main)
gavels,349.6491760027659,1,1,Bosico
dayjob,349.6491760027659,1,1,Fryerstarter
wattages,349.6491760027659,1,1,Odessa
carnies,347.5802459672465,3,3,Bring Back Pluto; Bracket Basher; Super fluke
funkin,342.7633060158405,2,1,Limelighters/Flunkadelic Interlude
psychopomp,342.0149145179893,1,1,Coveralls
mentholated,342.0149145179893,1,1,Lazy Eye
deprogrammed,342.0149145179893,1,1,KOWP
othmar,342.0149145179893,1,1,ZZZ Top
conformers,342.0149145179893,1,1,Blue in the Face
palpating,342.0149145179893,1,1,Sink or Swim
loosey,339.54370848823504,3,1,Nickel Plated Pockets
rizzle,339.54370848823504,3,3,Alchemy; Rickety Rackety; Kill the Messenger
smashy,334.70690352401516,1,1,Frijoles
featherlight,334.70690352401516,1,1,Pizza Alley
urbanite,334.70690352401516,2,2,The Yes and the Y’all; Nickel Plated Pockets
rubberneckers,334.70690352401516,1,1,Junkyard
schoolin,334.70690352401516,1,1,The Tugboat Complex
ataris,334.70690352401516,1,1,Sink or Swim
gadzooks,334.70690352401516,1,1,Homemade Mummy
mights,334.70690352401516,1,1,The Tugboat Complex
muter,334.70690352401516,1,1,Kill the Messenger
babushkas,334.70690352401516,1,1,Vititus
dodgin,334.70690352401516,1,1,Dead Pan
soundin,334.70690352401516,1,1,The Yes and the Y’all
blockhead,330.2710288989981,7,7,Coffee; I’ll Be OK; N.Y. Electric; Frijoles; Try Not to Die; 89.9FM Nighttrain Promo; Coffee (Main)
crushin,326.3392309359148,1,1,ZZZ Top
leanin,326.3392309359148,1,1,Untouchable (AR Version)
portamento,326.3392309359148,1,1,Rabies
underoos,326.3392309359148,1,1,Bold
woosh,324.53625175947326,3,2,The Gates; Dog at the Door
sweatin,320.66086151328375,4,3,The Tugboat Complex; Kill the Messenger; Wake Up Call
mentation,319.6792466311002,1,1,The ITS Way
hyperspeed,319.6792466311002,1,1,Play Dead
enthralls,319.6792466311002,1,1,The Mayor and the Crook
latterday,319.6792466311002,1,1,Hall of Game
eggroll,319.6792466311002,1,1,Time Moves Differently Here
postin,319.6792466311002,1,1,Dark Heart News
yeeah,319.6792466311002,1,1,11:35
fixins,319.6792466311002,1,1,Time Moves Differently Here
insipidity,319.6792466311002,1,1,Bad Samaritan
shotty,317.0907507069618,3,3,Fast Cars; KOWP; Salt and Pepper Squid
cocooned,313.28566169847824,4,4,I’ll Be OK; The Tugboat Complex; Shere Kahn; Jinx Planet
potbelly,313.28566169847824,4,2,Pigs; Bug Zapper
jokin,313.28566169847824,4,1,The Blob
flippancy,312.66034101644533,2,2,Klutz; Saturn Missiles
dragger,312.66034101644533,2,2,One Brick; Same Space (The Tugboat Complex pt. 2)
smolder,307.14280558674335,4,4,Pigs; Leisureforce; Mars Attacks; Frijoles
burgle,307.14280558674335,4,4,We’re Famous; Freeze/Honeycomb Interlude; Super fluke; Freeze
draggin,307.14280558674335,4,3,Shovel; Nickel Plated Pockets; Same Space (The Tugboat Complex pt. 2)
fistfuls,305.3466488289261,2,2,Pigs; Living Curfew
illest,305.3466488289261,2,2,The Greatest Pac-Man Victory in History; Coward of the Year
kibbles,305.3466488289261,2,2,Daylight; Long Legged Larry
gussied,305.3466488289261,2,2,Defender; Play Dead
exciters,304.75258920085435,1,1,Rabies
moseying,304.75258920085435,1,1,Drawbridge
breyers,304.75258920085435,1,1,Bold
lipomas,304.75258920085435,1,1,Cat Food
brooklynites,304.75258920085435,1,1,Limelighters/Flunkadelic Interlude
jalopy,302.78897715703437,3,3,Bring Back Pluto; Button Masher; By The River
hellions,302.78897715703437,3,3,"Klutz; Gauze; Food, Clothes, Medicine"
